Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
MK442630,Turquoiseomyces eucalypti,"culture from holotype of Turquoiseomyces
                     eucalypti",Yes,,,Australia: New South Wales,,B.A. Summerell,,,NCBI type_material qualifier,
MG386046,Tygervalleyomyces podocarpi,"culture from holotype of Tygervalleyomyces
                     podocarpi",Yes,,,South Africa: Western Cape Province,,P.W. Crous,,,NCBI type_material qualifier,
MN947409,Tylocliostomum viridifarinosum,"type material of Tylocliostomum
                     viridifarinosum",Yes,,v.d. Boom 58193a,Portugal: Madeira,,,,,NCBI type_material qualifier,
MN947410,Tylocliostomum viridifarinosum,"type material of Tylocliostomum
                     viridifarinosum",Yes,,v.d. Boom 58193b,Portugal: Madeira,,,,,NCBI type_material qualifier,
MF113419,Tylopilus dunensis,holotype of Tylopilus dunensis,Yes,,FLOR 51718,Brazil,24-Apr-2008,M.A. Neves,,,NCBI type_material qualifier,
MZ351438,Tylopilus glutinosus,holotype of Tylopilus glutinosus,Yes,Iqbal 430,HKAS 81369,Bangladesh,01-Jul-2012,Md. Iqbal Hosen,,,NCBI type_material qualifier,
MN115807,Tylopilus griseiolivaceus,holotype of Tylopilus griseiolivaceus,Yes,,JBSD127431,Dominican Republic,,,,,NCBI type_material qualifier,
KM975485,Tylopilus microsporus,holotype of Tylopilus microsporus,Yes,,HMAS:84730,China,,,,,NCBI type_material qualifier,
PZ258908,Tylopilus oradivensis,holotype of Tylopilus oradivensis,Yes,,NY136973,Costa Rica: Cartago. El Guarco,1996,,,,NCBI type_material qualifier,
OQ617298,Tylopilus pallidocervicolor,holotype of Tylopilus pallidocervicolor,Yes,,GDGM91094,"China: Guangdong, Guangzhou, Baiyun
                     Mountain",20-Aug-2022,L.H. Qiu,,,NCBI type_material qualifier,
KC984859,Tylopilus plumbeoviolaceoides,holotype of Tylopilus plumbeoviolaceoides,Yes,GDGM 20311,,China,,,,,NCBI type_material qualifier,
OQ940043,Tylopilus pseudoleucomycelinus,"holotype of Tylopilus
                     pseudoleucomycelinus",Yes,,MEXU:HO 30115,Mexico: Oaxaca,14-Sep-2017,"Ayala-Vasquez, O.",,,NCBI type_material qualifier,
MF113421,Tylopilus pygmaeus,holotype of Tylopilus pygmaeus,Yes,,FLOR 51612,Brazil,30-Nov-2012,A.C. Magnago,,,NCBI type_material qualifier,
PZ253723,Tylopilus rubrobrunneus,holotype of Tylopilus rubrobrunneus,Yes,,MICH12346,"USA: Michigan, Jackson, Waterloo State
                     Recreation Area",1960,,,,NCBI type_material qualifier,
PZ253724,Tylopilus subfusipes,holotype of Tylopilus subfusipes,Yes,,MICH12347,"USA: Michigan, Livingston, E. S. George
                     Reserve",1970,,,,NCBI type_material qualifier,
MW009074,Tylopilus subotsuensis,holotype of Tylopilus subotsuensis,Yes,,LE312534,Viet Nam,,,,,NCBI type_material qualifier,
ON645276,Tylopilus tropicalis,holotype of Tylopilus tropicalis,Yes,,Corona 1378,Mexico: Veracruz,,,,,NCBI type_material qualifier,
MW830253,Tylopilus yangzhuliangii,holotype of Tylopilus yangzhuliangii,Yes,,N.K. Zeng3358 (FHMU2930),China: Hainan Province,,,,,NCBI type_material qualifier,
MK314566,Tympanis inflata,culture from holotype of Tympanis inflata,Yes,,,Germany,,,,,NCBI type_material qualifier,
MW883456,Tympanis pini,culture from holotype of Tympanis pini,Yes,,,Spain,,R. Blasco,,,NCBI type_material qualifier,
MW466538,Typhrasa polycystis,holotype of Typhrasa polycystis,Yes,,HFJAU1454,China,,,,,NCBI type_material qualifier,
MW466541,Typhrasa rugocephala,holotype of Typhrasa rugocephala,Yes,,HFJAU1467,China,,,,,NCBI type_material qualifier,
MK810950,Tyrannosorus hystrioides,"culture from holotype of Capronia
                     hystrioides",Yes,,,USA,,,,,NCBI type_material qualifier,
EU035459,Tyrannosorus hystrioides,"culture from holotype of Capronia
                     hystrioides",Yes,,,USA,,,,,NCBI type_material qualifier,
MK810953,Tyrannosorus lichenicola,"culture from holotype of Tyrannosorus
                     lichenicola",Yes,,,USA,,A. Smith,,,NCBI type_material qualifier,
MK810952,Tyrannosorus pini-sylvestris,"culture from holotype of Tyrannosorus
                     pini-sylvestris",Yes,,,Germany,,R.K. Schumacher,,,NCBI type_material qualifier,
MK810951,Tyrannosorus pinicola,"culture from holotype of Capronia
                     pinicola",Yes,,,Pakistan,,O. Petrini,,,NCBI type_material qualifier,
KP749833,Tyromyces odorus,"holotype of Skeletocutis odora f.
                     investiens",Yes,,LE<RUS>:303708,Russia,,,,,NCBI type_material qualifier,
AF444408,Udeniomyces megalosporus,"culture from type material of Bullera
                     megalospora",Yes,,,,,,,,NCBI type_material qualifier,
KY105770,Udeniomyces megalosporus,"culture from type material of Bullera
                     megalospora",Yes,,,Japan,,,,,NCBI type_material qualifier,
DQ836007,Udeniomyces puniceus,"culture from type material of Candida
                     punicea",Yes,AFTOL-ID 1822,,Japan,,,,,NCBI type_material qualifier,
AF444435,Udeniomyces puniceus,"culture from type material of Candida
                     punicea",Yes,,,,,,,,NCBI type_material qualifier,
AF444402,Udeniomyces pyricola,"culture from type material of Bullera
                     pyricola",Yes,,,,,,,,NCBI type_material qualifier,
KY105784,Udeniomyces pyricola,"culture from type material of Bullera
                     pyricola",Yes,,,Switzerland,,,,,NCBI type_material qualifier,
AF444632,Udeniozyma ferulica,"culture from type material of Rhodotorula
                     ferulica",Yes,,,,,,,,NCBI type_material qualifier,
KY105812,Udeniozyma ferulica,"culture from type material of Rhodotorula
                     ferulica",Yes,,,Portugal,,,,,NCBI type_material qualifier,
OR242616,Umbellus sinensis,holotype of Umbellus sinensis,Yes,,LWZ 20190615-27,China,,,,,NCBI type_material qualifier,
MH859191,Umbelopsis angularis,holotype of Umbelopsis angularis,Yes,,,Netherlands,,,,,NCBI type_material qualifier,
JN206380,Umbelopsis angularis,holotype of Umbelopsis angularis,Yes,,,,,,,,NCBI type_material qualifier,
KC489476,Umbelopsis angularis,holotype of Umbelopsis angularis,Yes,,,Netherlands,,,,,NCBI type_material qualifier,
JN943790,Umbelopsis autotrophica,"type material of Mortierella ramanniana
                     var. autotrophica",Yes,,,United Kingdom,,E.H. Evans,,,NCBI type_material qualifier,
KC489480,Umbelopsis autotrophica,"type material of Mortierella ramanniana
                     var. autotrophica",Yes,,,United Kingdom,,,,,NCBI type_material qualifier,
HQ630285,Umbelopsis autotrophica,"type material of Mortierella ramanniana
                     var. autotrophica",Yes,,,,,,,,NCBI type_material qualifier,
MH862404,Umbelopsis autotrophica,"type material of Mortierella ramanniana
                     var. autotrophica",Yes,,,United Kingdom,,,,,NCBI type_material qualifier,
MW580596,Umbelopsis brunnea,"culture from holotype of Umbelopsis
                     brunnea",Yes,,,China,,H. Zhao & X.Y. Liu,,,NCBI type_material qualifier,
OL678225,Umbelopsis crustacea,"culture from holotype of Umbelopsis
                     crustacea",Yes,,,China,,,,,NCBI type_material qualifier,
MF417293,Umbelopsis curvata,"culture from holotype of Umbelopsis
                     curvata",Yes,,,,,,,,NCBI type_material qualifier,
KC489478,Umbelopsis dimorpha,holotype of Umbelopsis dimorpha,Yes,,,New Zealand,,,,,NCBI type_material qualifier,
JN206387,Umbelopsis dimorpha,holotype of Umbelopsis dimorpha,Yes,,,,,,,,NCBI type_material qualifier,
MF417275,Umbelopsis dura,culture from holotype of Umbelopsis dura,Yes,,,,,,,,NCBI type_material qualifier,
JN206386,Umbelopsis fusiformis,type material of Umbelopsis fusiformis,Yes,,,,,,,,NCBI type_material qualifier,
KC489500,Umbelopsis fusiformis,type material of Umbelopsis fusiformis,Yes,,,Australia,,,,,NCBI type_material qualifier,
JN206384,Umbelopsis gibberispora,"culture from type material of Umbelopsis
                     gibberispora",Yes,,,,,,,,NCBI type_material qualifier,
KC489479,Umbelopsis gibberispora,"culture from type material of Umbelopsis
                     gibberispora",Yes,,,Japan,,,,,NCBI type_material qualifier,
OL678228,Umbelopsis globospora,"culture from holotype of Umbelopsis
                     globospora",Yes,,,China,,,,,NCBI type_material qualifier,
OL678229,Umbelopsis gutianensis,"culture from holotype of Umbelopsis
                     gutianensis",Yes,,,China,,,,,NCBI type_material qualifier,
PV364380,Umbelopsis heagneyae,holotype of Umbelopsis heagneyae,Yes,,,Australia: Queensland,2023,,,,NCBI type_material qualifier,
MK804504,Umbelopsis heterosporus,holotype of Umbelopsis heterosporus,Yes,,,,,,,,NCBI type_material qualifier,
JN943792,Umbelopsis longicollis,"culture from epitype of Mortierella
                     longicollis",Yes,,,Australia,,E McLennan,,,NCBI type_material qualifier,
KM017727,Umbelopsis longicollis,"culture from epitype of Mortierella
                     longicollis",Yes,,,,,,,,NCBI type_material qualifier,
HQ630287,Umbelopsis longicollis,"culture from epitype of Mortierella
                     longicollis",Yes,,,,,,,,NCBI type_material qualifier,
MH855289,Umbelopsis longicollis,"culture from epitype of Mortierella
                     longicollis",Yes,,,Australia: Victoria,,,,,NCBI type_material qualifier,
AY997097,Umbelopsis macrospora,"culture from holotype of Umbelopsis
                     macrospora",Yes,AFTOL-ID 144,,,,,,,NCBI type_material qualifier,
KM017730,Umbelopsis macrospora,"culture from holotype of Umbelopsis
                     macrospora",Yes,,,,,,,,NCBI type_material qualifier,
KC489506,Umbelopsis nana,culture from epitype of Mortierella nana,Yes,,,Netherlands,,,,,NCBI type_material qualifier,
MH859921,Umbelopsis nana,culture from epitype of Mortierella nana,Yes,,,Netherlands,,,,,NCBI type_material qualifier,
KC489493,Umbelopsis oblongielliptica,"culture from holotype of Umbelopsis
                     oblongielliptica",Yes,,,USA,,,,,NCBI type_material qualifier,
HQ630289,Umbelopsis oblongielliptica,"culture from holotype of Umbelopsis
                     oblongielliptica",Yes,,,,,,,,NCBI type_material qualifier,
OL678232,Umbelopsis oblongispora,"culture from holotype of Umbelopsis
                     oblongispora",Yes,,,China,,,,,NCBI type_material qualifier,
JN206395,Umbelopsis ovata,isotype of Mortierella ovata,Yes,,,,,,,,NCBI type_material qualifier,
KC489501,Umbelopsis ovata,isotype of Mortierella ovata,Yes,,,Australia,,,,,NCBI type_material qualifier,
KF765510,Umbelopsis roseonana,type material of Mortierella roseonana,Yes,,,,,,,,NCBI type_material qualifier,
OP856533,Umbelopsis satunensis,"culture from holotype of Umbelopsis
                     satunensis",Yes,CV00129,,Thailand,,,,,NCBI type_material qualifier,
OL678233,Umbelopsis septata,"culture from holotype of Umbelopsis
                     septata",Yes,,,China,,,,,NCBI type_material qualifier,
MH861920,Umbelopsis swartii,"culture from type material of Umbelopsis
                     swartii",Yes,,,Australia: Victoria,,,,,NCBI type_material qualifier,
JN206378,Umbelopsis swartii,"culture from type material of Umbelopsis
                     swartii",Yes,,,,,,,,NCBI type_material qualifier,
KC489504,Umbelopsis swartii,"culture from type material of Umbelopsis
                     swartii",Yes,,,Australia,,,,,NCBI type_material qualifier,
OL678234,Umbelopsis tibetica,"culture from holotype of Umbelopsis
                     tibetica",Yes,,,China,,,,,NCBI type_material qualifier,
MH861311,Umbelopsis versiformis,type material of Umbelopsis versiformis,Yes,,,USA: Virginia,,,,,NCBI type_material qualifier,
KC489496,Umbelopsis versiformis,type material of Umbelopsis versiformis,Yes,,,USA,,,,,NCBI type_material qualifier,
KC489498,Umbelopsis vinacea,"culture from epitype of Mortierella
                     vinacea",Yes,,,Australia,,,,,NCBI type_material qualifier,
MH855292,Umbelopsis vinacea,"culture from epitype of Mortierella
                     vinacea",Yes,,,Australia: Victoria,,,,,NCBI type_material qualifier,
MH861922,Umbelopsis westeae,"culture from type material of Umbelopsis
                     westeae",Yes,,,Australia: Victoria,,,,,NCBI type_material qualifier,
KC489505,Umbelopsis westeae,"culture from type material of Umbelopsis
                     westeae",Yes,,,Australia,,,,,NCBI type_material qualifier,
JN206379,Umbelopsis westeae,"culture from type material of Umbelopsis
                     westeae",Yes,,,,,,,,NCBI type_material qualifier,
MH302514,Umbilicaria dura,holotype of Umbilicaria dura,Yes,,OSC:McCune 35928,USA: Oregon,,Bruce McCune,,,NCBI type_material qualifier,
MH302522,Umbilicaria multistrata,holotype of Umbilicaria multistrata,Yes,2,OSC:McCune 34957,USA: Alaska,,Bruce McCune,,,NCBI type_material qualifier,
MH302521,Umbilicaria multistrata,holotype of Umbilicaria multistrata,Yes,1,OSC:McCune 34957,USA: Alaska,,Bruce McCune,,,NCBI type_material qualifier,
OR948999,Umbilicaria nyalamii,holotype of Umbilicaria nyalamii,Yes,,20230832,China,15-Jul-2023,,,,NCBI type_material qualifier,
KY173472,Umthunziomyces hagahagensis,"culture from holotype of Umthunziomyces
                     hagahagensis",Yes,,,"South Africa: Eastern Cape Province, Haga
                     Haga",,M.J. Wingfield,,,NCBI type_material qualifier,
MH861035,Uncinocarpus reesii,"culture from type material of Uncinocarpus
                     reesii",Yes,,,Australia,,,,,NCBI type_material qualifier,
MH861034,Uncinocarpus reesii,type material of Uncinocarpus reesii,Yes,,,Australia,,,,,NCBI type_material qualifier,
AJ271566,Uncinocarpus reesii,"culture from type material of Uncinocarpus
                     reesii",Yes,,,,,,,,NCBI type_material qualifier,
KT155748,Uncinocarpus reesii,"culture from type material of Uncinocarpus
                     reesii",Yes,,,Australia,,J.W. Carmichael,,,NCBI type_material qualifier,
AJ271419,Uncinocarpus reesii,"culture from type material of Uncinocarpus
                     reesii",Yes,,,,,,,,NCBI type_material qualifier,
KT155736,Uncinocarpus reesii,type material of Uncinocarpus reesii,Yes,,,Australia,,J.W. Carmichael,,,NCBI type_material qualifier,
MK584946,Unguiculella globosa,holotype of Unguiculella globosa,Yes,HC03,MFLU 18-1816,,,,,,NCBI type_material qualifier,
KF937286,Ungulidaedalea fragilis,holotype of Fomitopsis fragilis,Yes,,Cui 10919,China,,,,,NCBI type_material qualifier,
MN595673,Unilacryma bispora,holotype of Unilacryma bispora,Yes,,UPS F-941257,Sweden,,,,,NCBI type_material qualifier,
EF585659,Urceomyces sphaerocarpus,"culture from type material of Rhizidium
                     sphaerocarpum",Yes,ARG048,,,,,,,NCBI type_material qualifier,
DQ021883,Uredo baruensis,holotype of Uredo baruensis,Yes,GUY71,BPI 863952,Guyana,,,,,NCBI type_material qualifier,
MW346630,Uredo longan,holotype of Uredo longan,Yes,,HMAS 248236,China,,,,,NCBI type_material qualifier,
OQ941816,Urnula ailaoshanensis,holotype of Urnula ailaoshanensis,Yes,,HKAS129212,China: Yunnan,24-Aug-2022,Jin-Rong Lu,,,NCBI type_material qualifier,
MH179122,Urnula himalayana,type material of Urnula himalayana,Yes,,KD 17-2-17,"India: Sikkim, South District, Pipaley",23-Aug-2017,Kanad Das,,,NCBI type_material qualifier,
JX669825,Urnula padeniana,holotype of Urnula padeniana,Yes,,WTU-F-33051,USA,,,,,NCBI type_material qualifier,
OQ944116,Urnula subcrateria,holotype of Urnula subcrateria,Yes,,HKAS129214,China: Yunnan,16-Apr-2019,Feng-Ming Yu,,,NCBI type_material qualifier,
KJ577535,Urnula versiformis,holotype of Urnula versiformis,Yes,,TNM F11317,,,,,,NCBI type_material qualifier,
MT073413,Urocystis piptatheri,holotype of Urocystis piptatheri,Yes,,PUP Bot. 202,Pakistan,,Ayesha Anwar,,,NCBI type_material qualifier,
KR821138,Uromyces hawksworthii,epitype of Uromyces hawksworthii,Yes,,UB:22875,Brazil,,,,,NCBI type_material qualifier,
MF044015,Uromyces klotzschianus,type material of Uromyces klotzschianus,Yes,BA91,,Pakistan,,,,,NCBI type_material qualifier,
MN386999,Uromyces rebeccae,holotype of Uromyces rebeccae,Yes,FDWSRU 15-022,,USA,07-Aug-2015,William Bruckart,,,NCBI type_material qualifier,
KJ632994,Uromycladium falcatarium,paratype of Uromycladium falcatarium,Yes,,BRIP:57990,East Timor,,,,,NCBI type_material qualifier,
KJ632993,Uromycladium falcatarium,holotype of Uromycladium falcatarium,Yes,,BRIP:57477,"Philippines: Laguna-Quezon Land Grant,
                     University of the Philippines Los Ba os, Siniloan Laguna,
                     Magsaysay",,,,,NCBI type_material qualifier,
MH874587,Ursicollum fallax,"culture from type material of Ursicollum
                     fallax",Yes,,,USA,,,,,NCBI type_material qualifier,
MT339224,Usnea arianae,holotype of Usnea arianae,Yes,277SW,,,,,,,NCBI type_material qualifier,
MW267213,Usnea beckeri,holotype of Usnea beckeri,Yes,MN0489,Nadel 489,Sao Tome and Principe,,,,,NCBI type_material qualifier,
MW267197,Usnea longiciliata,holotype of Usnea longiciliata,Yes,MN0485,Nadel 485,Sao Tome and Principe,,,,,NCBI type_material qualifier,
MF669914,Usnea oreophila,type material of Usnea oreophila,Yes,,sp3_8BR,Brazil,,,,,NCBI type_material qualifier,
KU352675,Usnea parafloridana,holotype of Usnea parafloridana,Yes,WW_018,"TU<EST>:WW14807, holotype",USA: Wisconsin,27-Aug-2011,"Will-Wolf, S.",,,NCBI type_material qualifier,
KY021928,Usnea subparvula,holotype of Usnea subparvula,Yes,,V.Pott11873(CGMS),,,,,,NCBI type_material qualifier,
PQ145668,Ustilaginoidea cookiorum,holotype of Ustilaginoidea cookiorum,Yes,,BRIP 65611a,Australia: Queensland,,,,,NCBI type_material qualifier,
KY105787,Ustilago abaconensis,type material of Pseudozyma abaconensis,Yes,,,Bahamas,,,,,NCBI type_material qualifier,
FJ008053,Ustilago abaconensis,type material of Pseudozyma abaconensis,Yes,,,,,,,,NCBI type_material qualifier,
KY929528,Ustilago jagei,holotype of Ustilago jagei,Yes,,GLM-F047379,,,,,,NCBI type_material qualifier,
KY929592,Ustilago kummeri,holotype of Ustilago kummeri,Yes,,GLM-F107435,,,,,,NCBI type_material qualifier,
KY929570,Ustilago neocopinata,holotype of Ustilago neocopinata,Yes,,GLM-F107413,,,,,,NCBI type_material qualifier,
KF381025,Ustilago nunavutica,holotype of Ustilago nunavutica,Yes,,DAOM 91211,,,,,,NCBI type_material qualifier,
DQ008956,Ustilago shanxiensis,type material of Pseudozyma shanxiensis,Yes,,,,,,,,NCBI type_material qualifier,
KY105788,Ustilago shanxiensis,type material of Pseudozyma shanxiensis,Yes,,,China,,,,,NCBI type_material qualifier,
AF444524,Ustilentyloma graminis,"culture from type material of Candida
                     graminis",Yes,,,,,,,,NCBI type_material qualifier,
DQ234557,Ustilentyloma graminis,"culture from type material of Candida
                     graminis",Yes,AFTOL-ID 674,,,,,,,NCBI type_material qualifier,
MH861309,Utharomyces epallocaulus,type material of Utharomyces epallocaulus,Yes,,,Taiwan,,,,,NCBI type_material qualifier,
OR792722,Utraria malleata,culture from holotype of Utraria malleata,Yes,ZRL20181345,,China,,,,,NCBI type_material qualifier,
PV484420,Utraria pusilla,holotype of Utraria pusilla,Yes,,ZRL20190306,China,2019-08-08,,,,NCBI type_material qualifier,
PV484417,Utraria subnigrescens,holotype of Utraria subnigrescens,Yes,,ZRL20237397,China,2023-08-30,,,,NCBI type_material qualifier,
PV484425,Utraria subnivea,holotype of Utraria subnivea,Yes,,ZRL20240222,China,2024-07-18,,,,NCBI type_material qualifier,
MH865092,Utrechtiana roumeguerei,"culture from holotype of Utrechtiana
                     cibiessia",Yes,,,Netherlands,,,,,NCBI type_material qualifier,
KF442513,Uwebraunia australiensis,"culture from type material of Dissoconium
                     australiense",Yes,,,Australia,,P.W. Crous,,,NCBI type_material qualifier,
EF394854,Uwebraunia australiensis,"culture from type material of Dissoconium
                     australiense",Yes,,P.W. Crous holotype CBS-H 19837,Australia,,,,,NCBI type_material qualifier,
AY725541,Uwebraunia communis,"culture from holotype of Dissoconium
                     commune",Yes,,,,,,,,NCBI type_material qualifier,
AF173309,Uwebraunia dekkeri,"culture from type material of Dissoconium
                     dekkeri",Yes,,,,,,,,NCBI type_material qualifier,
